K,trainingSize,testingSize,accuracy
2,0.3,0.7,0.86
3,0.3,0.7,0.86
4,0.3,0.7,0.84
5,0.3,0.7,0.85
6,0.3,0.7,0.88
7,0.3,0.7,0.88
8,0.3,0.7,0.84
9,0.3,0.7,0.82
10,0.3,0.7,0.82
11,0.3,0.7,0.83
12,0.3,0.7,0.83
13,0.3,0.7,0.83
14,0.3,0.7,0.82
15,0.3,0.7,0.88
16,0.3,0.7,0.82
17,0.3,0.7,0.84
18,0.3,0.7,0.78
19,0.3,0.7,0.81
20,0.3,0.7,0.86
2,0.3,0.7,0.83
3,0.3,0.7,0.87
4,0.3,0.7,0.84
5,0.3,0.7,0.87
6,0.3,0.7,0.83
7,0.3,0.7,0.88
8,0.3,0.7,0.86
9,0.3,0.7,0.84
10,0.3,0.7,0.82
11,0.3,0.7,0.86
12,0.3,0.7,0.86
13,0.3,0.7,0.86
14,0.3,0.7,0.82
15,0.3,0.7,0.85
16,0.3,0.7,0.83
17,0.3,0.7,0.85
18,0.3,0.7,0.85
19,0.3,0.7,0.80
20,0.3,0.7,0.86
2,0.3,0.7,0.87
3,0.3,0.7,0.85
4,0.3,0.7,0.85
5,0.3,0.7,0.89
6,0.3,0.7,0.84
7,0.3,0.7,0.88
8,0.3,0.7,0.84
9,0.3,0.7,0.84
10,0.3,0.7,0.85
11,0.3,0.7,0.84
12,0.3,0.7,0.86
13,0.3,0.7,0.86
14,0.3,0.7,0.84
15,0.3,0.7,0.87
16,0.3,0.7,0.86
17,0.3,0.7,0.78
18,0.3,0.7,0.80
19,0.3,0.7,0.87
20,0.3,0.7,0.83
2,0.3,0.7,0.82
3,0.3,0.7,0.89
4,0.3,0.7,0.87
5,0.3,0.7,0.84
6,0.3,0.7,0.86
7,0.3,0.7,0.89
8,0.3,0.7,0.86
9,0.3,0.7,0.87
10,0.3,0.7,0.85
11,0.3,0.7,0.88
12,0.3,0.7,0.80
13,0.3,0.7,0.86
14,0.3,0.7,0.83
15,0.3,0.7,0.83
16,0.3,0.7,0.82
17,0.3,0.7,0.88
18,0.3,0.7,0.82
19,0.3,0.7,0.84
20,0.3,0.7,0.84
2,0.3,0.7,0.87
3,0.3,0.7,0.88
4,0.3,0.7,0.85
5,0.3,0.7,0.86
6,0.3,0.7,0.84
7,0.3,0.7,0.87
8,0.3,0.7,0.85
9,0.3,0.7,0.85
