k,trainingSize,testingSize,correct_over_total
5,0.7,0.3,0.96
6,0.7,0.3,0.96
7,0.7,0.3,0.93
8,0.7,0.3,0.89
9,0.7,0.3,0.93
10,0.7,0.3,0.98
11,0.7,0.3,0.98
12,0.7,0.3,0.96
3,0.7,0.3,0.91
4,0.7,0.3,0.96
5,0.7,0.3,0.91
6,0.7,0.3,0.96
7,0.7,0.3,0.98
8,0.7,0.3,0.98
9,0.7,0.3,0.98
10,0.7,0.3,0.96
11,0.7,0.3,0.91
12,0.7,0.3,0.96
3,0.7,0.3,0.96
4,0.7,0.3,0.93
5,0.7,0.3,0.98
6,0.7,0.3,0.98
7,0.7,0.3,0.93
8,0.7,0.3,0.91
9,0.7,0.3,0.93
10,0.7,0.3,0.98
11,0.7,0.3,0.93
12,0.7,0.3,0.91
3,0.7,0.3,0.96
4,0.7,0.3,0.93
5,0.7,0.3,0.89
6,0.7,0.3,0.93
7,0.7,0.3,0.98
8,0.7,0.3,0.96
9,0.7,0.3,0.98
10,0.7,0.3,0.93
11,0.7,0.3,0.91
12,0.7,0.3,0.96
3,0.7,0.3,0.91
4,0.7,0.3,0.98
5,0.7,0.3,0.93
6,0.7,0.3,0.89
7,0.7,0.3,0.91
8,0.7,0.3,0.96
9,0.7,0.3,0.87
10,0.7,0.3,0.98
11,0.7,0.3,0.96
12,0.7,0.3,0.93
3,0.7,0.3,0.96
4,0.7,0.3,0.98
5,0.7,0.3,0.96
6,0.7,0.3,0.98
7,0.7,0.3,0.93
8,0.7,0.3,0.91
9,0.7,0.3,0.98
10,0.7,0.3,0.91
11,0.7,0.3,0.89
12,0.7,0.3,0.96
3,0.7,0.3,0.93
4,0.7,0.3,0.93
5,0.7,0.3,0.96
6,0.7,0.3,0.98
7,0.7,0.3,0.98
8,0.7,0.3,0.98
9,0.7,0.3,0.98
10,0.7,0.3,0.96
11,0.7,0.3,0.93
12,0.7,0.3,0.96
3,0.7,0.3,0.96
4,0.7,0.3,0.96
5,0.7,0.3,0.98
6,0.7,0.3,0.91
7,0.7,0.3,0.93
8,0.7,0.3,0.98
9,0.7,0.3,0.91
10,0.7,0.3,0.98
11,0.7,0.3,0.91
12,0.7,0.3,0.96
3,0.7,0.3,0.96
4,0.7,0.3,0.93
5,0.7,0.3,0.98
6,0.7,0.3,0.96
7,0.7,0.3,0.96
8,0.7,0.3,0.96
9,0.7,0.3,0.91
10,0.7,0.3,0.96
11,0.7,0.3,0.96
12,0.7,0.3,0.96
3,0.7,0.3,0.93
4,0.7,0.3,0.93
5,0.7,0.3,0.96
6,0.7,0.3,0.93
7,0.7,0.3,0.98
8,0.7,0.3,0.93
9,0.7,0.3,0.96
10,0.7,0.3,0.96
11,0.7,0.3,0.96
12,0.7,0.3,0.91
3,0.7,0.3,0.93
4,0.7,0.3,0.91
5,0.7,0.3,0.93
6,0.7,0.3,0.89
7,0.7,0.3,0.96
8,0.7,0.3,0.93
9,0.7,0.3,0.91
10,0.7,0.3,0.93
11,0.7,0.3,0.91
12,0.7,0.3,0.98
3,0.7,0.3,0.93
4,0.7,0.3,0.87
5,0.7,0.3,0.93
6,0.7,0.3,0.96
7,0.7,0.3,0.93
8,0.7,0.3,0.93
9,0.7,0.3,0.98
10,0.7,0.3,0.91
11,0.7,0.3,0.96
12,0.7,0.3,0.93
3,0.7,0.3,0.93
4,0.7,0.3,0.93
5,0.7,0.3,0.91
6,0.7,0.3,0.98
7,0.7,0.3,0.93
8,0.7,0.3,0.91
9,0.7,0.3,0.96
10,0.7,0.3,0.96
11,0.7,0.3,0.93
12,0.7,0.3,0.96
3,0.7,0.3,0.91
4,0.7,0.3,0.93
5,0.7,0.3,0.96
6,0.7,0.3,0.98
7,0.7,0.3,0.96
8,0.7,0.3,0.98
9,0.7,0.3,0.96
10,0.7,0.3,0.91
11,0.7,0.3,0.93
12,0.7,0.3,0.98
3,0.7,0.3,0.93
4,0.7,0.3,0.93
5,0.7,0.3,0.91
6,0.7,0.3,0.96
7,0.7,0.3,0.91
8,0.7,0.3,0.98
9,0.7,0.3,0.93
10,0.7,0.3,0.93
11,0.7,0.3,0.93
12,0.7,0.3,0.96
3,0.7,0.3,0.93
4,0.7,0.3,0.93
5,0.7,0.3,0.91
6,0.7,0.3,0.96
7,0.7,0.3,0.96
8,0.7,0.3,0.93
9,0.7,0.3,0.89
10,0.7,0.3,0.91
11,0.7,0.3,0.91
12,0.7,0.3,0.91
3,0.7,0.3,0.96
4,0.7,0.3,0.96
5,0.7,0.3,0.96
6,0.7,0.3,0.96
7,0.7,0.3,0.96
8,0.7,0.3,0.96
9,0.7,0.3,0.91
10,0.7,0.3,0.93
11,0.7,0.3,0.96
12,0.7,0.3,0.96
3,0.7,0.3,0.96
4,0.7,0.3,0.96
5,0.7,0.3,0.91
6,0.7,0.3,0.93
7,0.7,0.3,0.96
8,0.7,0.3,0.98
9,0.7,0.3,0.98
10,0.7,0.3,0.93
11,0.7,0.3,0.93
12,0.7,0.3,0.96
3,0.7,0.3,0.91
4,0.7,0.3,0.96
5,0.7,0.3,0.96
6,0.7,0.3,0.98
7,0.7,0.3,0.89
8,0.7,0.3,0.96
9,0.7,0.3,0.93
10,0.7,0.3,0.96
11,0.7,0.3,0.98
12,0.7,0.3,0.93
3,0.7,0.3,0.89
4,0.7,0.3,0.91
5,0.7,0.3,0.96
6,0.7,0.3,0.93
7,0.7,0.3,0.91
8,0.7,0.3,0.96
9,0.7,0.3,0.93
10,0.7,0.3,0.93
11,0.7,0.3,0.96
12,0.7,0.3,0.93
3,0.7,0.3,0.89
4,0.7,0.3,0.96
5,0.7,0.3,0.93
6,0.7,0.3,0.93
7,0.7,0.3,0.93
8,0.7,0.3,0.85
9,0.7,0.3,0.93
10,0.7,0.3,0.96
11,0.7,0.3,0.96
12,0.7,0.3,0.98
3,0.7,0.3,0.91
4,0.7,0.3,0.89
5,0.7,0.3,0.96
6,0.7,0.3,0.96
7,0.7,0.3,0.91
8,0.7,0.3,0.93
9,0.7,0.3,0.93
10,0.7,0.3,0.93
11,0.7,0.3,0.93
12,0.7,0.3,0.91
3,0.8,0.2,0.94
4,0.8,0.2,0.94
5,0.8,0.2,0.94
6,0.8,0.2,0.94
7,0.8,0.2,0.97
8,0.8,0.2,0.97
9,0.8,0.2,0.97
10,0.8,0.2,0.97
11,0.8,0.2,0.97
12,0.8,0.2,0.94
3,0.8,0.2,0.90
4,0.8,0.2,0.90
5,0.8,0.2,0.94
6,0.8,0.2,0.97
7,0.8,0.2,0.94
8,0.8,0.2,0.90
9,0.8,0.2,0.94
10,0.8,0.2,0.97
11,0.8,0.2,0.90
12,0.8,0.2,0.94
3,0.8,0.2,0.87
4,0.8,0.2,0.94
5,0.8,0.2,0.87
6,0.8,0.2,0.94
7,0.8,0.2,0.97
8,0.8,0.2,0.94
9,0.8,0.2,0.84
10,0.8,0.2,0.97
11,0.8,0.2,0.97
12,0.8,0.2,0.97
3,0.8,0.2,0.90
4,0.8,0.2,0.90
5,0.8,0.2,0.87
6,0.8,0.2,0.97
7,0.8,0.2,0.90
8,0.8,0.2,0.87
9,0.8,0.2,0.94
10,0.8,0.2,0.97
11,0.8,0.2,0.94
12,0.8,0.2,0.94
3,0.8,0.2,0.94
4,0.8,0.2,0.90
5,0.8,0.2,0.90
6,0.8,0.2,0.90
7,0.8,0.2,0.97
8,0.8,0.2,0.97
9,0.8,0.2,0.97
10,0.8,0.2,0.90
11,0.8,0.2,0.97
12,0.8,0.2,0.94
3,0.8,0.2,0.94
4,0.8,0.2,0.97
5,0.8,0.2,0.90
6,0.8,0.2,0.90
7,0.8,0.2,0.97
8,0.8,0.2,0.90
9,0.8,0.2,0.90
10,0.8,0.2,0.94
11,0.8,0.2,0.94
12,0.8,0.2,0.94
3,0.8,0.2,0.90
4,0.8,0.2,0.87
5,0.8,0.2,0.90
6,0.8,0.2,0.94
7,0.8,0.2,0.94
8,0.8,0.2,0.87
9,0.8,0.2,0.97
10,0.8,0.2,0.97
11,0.8,0.2,0.94
12,0.8,0.2,0.97
3,0.8,0.2,0.90
4,0.8,0.2,0.90
5,0.8,0.2,0.94
6,0.8,0.2,0.97
7,0.8,0.2,0.87
8,0.8,0.2,0.94
9,0.8,0.2,0.94
10,0.8,0.2,0.94
11,0.8,0.2,0.97
12,0.8,0.2,0.94
3,0.8,0.2,0.97
4,0.8,0.2,0.97
5,0.8,0.2,0.94
6,0.8,0.2,0.90
7,0.8,0.2,0.90
8,0.8,0.2,0.97
9,0.8,0.2,0.90
10,0.8,0.2,0.94
11,0.8,0.2,0.94
12,0.8,0.2,0.90
3,0.8,0.2,0.97
4,0.8,0.2,0.90
5,0.8,0.2,0.94
6,0.8,0.2,0.97
7,0.8,0.2,0.94
8,0.8,0.2,0.90
9,0.8,0.2,0.90
10,0.8,0.2,0.90
11,0.8,0.2,0.90
12,0.8,0.2,0.94
3,0.8,0.2,0.94
4,0.8,0.2,0.94
5,0.8,0.2,0.94
6,0.8,0.2,0.94
7,0.8,0.2,0.97
8,0.8,0.2,0.94
9,0.8,0.2,0.94
10,0.8,0.2,0.94
11,0.8,0.2,0.97
12,0.8,0.2,0.97
3,0.8,0.2,0.87
4,0.8,0.2,0.90
5,0.8,0.2,0.94
6,0.8,0.2,0.94
7,0.8,0.2,0.94
8,0.8,0.2,0.97
9,0.8,0.2,0.94
10,0.8,0.2,0.87
11,0.8,0.2,0.97
12,0.8,0.2,0.90
3,0.8,0.2,0.90
4,0.8,0.2,0.90
5,0.8,0.2,0.90
6,0.8,0.2,0.90
7,0.8,0.2,0.90
8,0.8,0.2,0.90
9,0.8,0.2,0.94
10,0.8,0.2,0.97
11,0.8,0.2,0.94
12,0.8,0.2,0.87
3,0.8,0.2,0.94
4,0.8,0.2,0.94
5,0.8,0.2,0.97
6,0.8,0.2,0.90
7,0.8,0.2,0.87
8,0.8,0.2,0.87
9,0.8,0.2,0.94
10,0.8,0.2,0.87
11,0.8,0.2,0.94
12,0.8,0.2,0.87
3,0.8,0.2,0.90
4,0.8,0.2,0.97
5,0.8,0.2,0.97
6,0.8,0.2,0.90
7,0.8,0.2,0.90
8,0.8,0.2,0.97
9,0.8,0.2,0.90
10,0.8,0.2,0.90
11,0.8,0.2,0.97
12,0.8,0.2,0.97
3,0.8,0.2,0.90
4,0.8,0.2,0.90
5,0.8,0.2,0.94
6,0.8,0.2,0.94
7,0.8,0.2,0.90
8,0.8,0.2,0.90
9,0.8,0.2,0.97
10,0.8,0.2,0.97
11,0.8,0.2,0.97
12,0.8,0.2,0.94
3,0.8,0.2,0.97
4,0.8,0.2,0.94
5,0.8,0.2,0.97
6,0.8,0.2,0.90
7,0.8,0.2,0.97
8,0.8,0.2,0.94
9,0.8,0.2,0.90
10,0.8,0.2,0.87
11,0.8,0.2,0.97
12,0.8,0.2,0.90
3,0.8,0.2,0.90
4,0.8,0.2,0.97
5,0.8,0.2,0.87
6,0.8,0.2,0.97
7,0.8,0.2,0.94
8,0.8,0.2,0.90
9,0.8,0.2,0.94
10,0.8,0.2,0.94
11,0.8,0.2,0.94
12,0.8,0.2,0.97
3,0.8,0.2,0.90
4,0.8,0.2,0.94
5,0.8,0.2,0.97
6,0.8,0.2,0.94
7,0.8,0.2,0.87
8,0.8,0.2,0.90
9,0.8,0.2,0.90
10,0.8,0.2,0.94
11,0.8,0.2,0.90
12,0.8,0.2,0.97
3,0.8,0.2,0.94
4,0.8,0.2,0.97
5,0.8,0.2,0.97
6,0.8,0.2,0.90
7,0.8,0.2,0.97
8,0.8,0.2,0.90
9,0.8,0.2,0.90
10,0.8,0.2,0.94
11,0.8,0.2,0.94
12,0.8,0.2,0.97
3,0.8,0.2,0.97
4,0.8,0.2,0.97
5,0.8,0.2,0.94
6,0.8,0.2,0.81
7,0.8,0.2,0.90
8,0.8,0.2,0.87
9,0.8,0.2,0.97
10,0.8,0.2,0.97
11,0.8,0.2,0.97
12,0.8,0.2,0.90
3,0.8,0.2,0.94
4,0.8,0.2,0.90
5,0.8,0.2,0.97
6,0.8,0.2,0.97
7,0.8,0.2,0.90
8,0.8,0.2,0.87
9,0.8,0.2,0.97
10,0.8,0.2,0.94
11,0.8,0.2,0.94
12,0.8,0.2,0.94
3,0.8,0.2,0.90
4,0.8,0.2,0.90
5,0.8,0.2,0.97
6,0.8,0.2,0.90
7,0.8,0.2,0.97
8,0.8,0.2,0.84
9,0.8,0.2,0.97
10,0.8,0.2,0.94
11,0.8,0.2,0.97
12,0.8,0.2,0.97
3,0.8,0.2,0.90
4,0.8,0.2,0.90
5,0.8,0.2,0.97
6,0.8,0.2,0.87
7,0.8,0.2,0.94
8,0.8,0.2,0.94
9,0.8,0.2,0.94
10,0.8,0.2,0.87
11,0.8,0.2,0.97
12,0.8,0.2,0.94
3,0.8,0.2,0.97
4,0.8,0.2,0.94
5,0.8,0.2,0.94
6,0.8,0.2,0.94
7,0.8,0.2,0.94
8,0.8,0.2,0.94
9,0.8,0.2,0.94
10,0.8,0.2,0.94
11,0.8,0.2,0.94
12,0.8,0.2,0.97
3,0.8,0.2,0.87
4,0.8,0.2,0.97
5,0.8,0.2,0.90
6,0.8,0.2,0.94
7,0.8,0.2,0.90
8,0.8,0.2,0.87
9,0.8,0.2,0.90
10,0.8,0.2,0.90
11,0.8,0.2,0.94
12,0.8,0.2,0.94
3,0.8,0.2,0.90
4,0.8,0.2,0.90
5,0.8,0.2,0.94
6,0.8,0.2,0.97
7,0.8,0.2,0.90
8,0.8,0.2,0.90
9,0.8,0.2,0.94
10,0.8,0.2,0.97
11,0.8,0.2,0.87
12,0.8,0.2,0.94
3,0.8,0.2,0.94
4,0.8,0.2,0.94
5,0.8,0.2,0.90
6,0.8,0.2,0.94
7,0.8,0.2,0.94
8,0.8,0.2,0.94
9,0.8,0.2,0.97
10,0.8,0.2,0.94
11,0.8,0.2,0.94
12,0.8,0.2,0.94
3,0.8,0.2,0.94
4,0.8,0.2,0.94
5,0.8,0.2,0.94
6,0.8,0.2,0.90
7,0.8,0.2,0.94
8,0.8,0.2,0.90
9,0.8,0.2,0.90
10,0.8,0.2,0.94
11,0.8,0.2,0.87
12,0.8,0.2,0.97
3,0.8,0.2,0.94
4,0.8,0.2,0.94
5,0.8,0.2,0.94
6,0.8,0.2,0.97
7,0.8,0.2,0.94
8,0.8,0.2,0.90
9,0.8,0.2,0.90
10,0.8,0.2,0.90
11,0.8,0.2,0.94
12,0.8,0.2,0.94
3,0.8,0.2,0.97
4,0.8,0.2,0.90
5,0.8,0.2,0.97
6,0.8,0.2,0.84
7,0.8,0.2,0.94
8,0.8,0.2,0.94
9,0.8,0.2,0.94
10,0.8,0.2,0.90
11,0.8,0.2,0.97
12,0.8,0.2,0.97
3,0.8,0.2,0.97
4,0.8,0.2,0.94
5,0.8,0.2,0.97
6,0.8,0.2,0.94
7,0.8,0.2,0.90
8,0.8,0.2,0.87
9,0.8,0.2,0.94
10,0.8,0.2,0.94
11,0.8,0.2,0.84
12,0.8,0.2,0.94
3,0.8,0.2,0.90
4,0.8,0.2,0.94
5,0.8,0.2,0.94
6,0.8,0.2,0.87
7,0.8,0.2,0.90
8,0.8,0.2,0.90
9,0.8,0.2,0.97
10,0.8,0.2,0.90
11,0.8,0.2,0.90
12,0.8,0.2,0.94
3,0.8,0.2,0.94
4,0.8,0.2,0.94
5,0.8,0.2,0.97
6,0.8,0.2,0.94
7,0.8,0.2,0.94
8,0.8,0.2,0.94
9,0.8,0.2,0.90
10,0.8,0.2,0.94
11,0.8,0.2,0.97
12,0.8,0.2,0.90
3,0.8,0.2,0.90
4,0.8,0.2,0.94
5,0.8,0.2,0.90
6,0.8,0.2,0.97
7,0.8,0.2,0.97
8,0.8,0.2,0.87
9,0.8,0.2,0.94
10,0.8,0.2,0.94
11,0.8,0.2,0.97
12,0.8,0.2,0.94
3,0.8,0.2,0.94
4,0.8,0.2,0.94
5,0.8,0.2,0.94
6,0.8,0.2,0.94
7,0.8,0.2,0.94
8,0.8,0.2,0.90
9,0.8,0.2,0.97
10,0.8,0.2,0.94
11,0.8,0.2,0.94
12,0.8,0.2,0.97
3,0.8,0.2,0.94
4,0.8,0.2,0.94
5,0.8,0.2,0.97
6,0.8,0.2,0.94
7,0.8,0.2,0.97
8,0.8,0.2,0.94
9,0.8,0.2,0.97
10,0.8,0.2,0.94
11,0.8,0.2,0.94
12,0.8,0.2,0.97
3,0.8,0.2,0.90
4,0.8,0.2,0.94
5,0.8,0.2,0.97
6,0.8,0.2,0.87
7,0.8,0.2,0.97
8,0.8,0.2,0.94
9,0.8,0.2,0.97
10,0.8,0.2,0.94
11,0.8,0.2,0.94
12,0.8,0.2,0.97
3,0.8,0.2,0.97
4,0.8,0.2,0.90
5,0.8,0.2,0.97
6,0.8,0.2,0.97
7,0.8,0.2,0.90
8,0.8,0.2,0.94
9,0.8,0.2,0.94
10,0.8,0.2,0.94
11,0.8,0.2,0.87
12,0.8,0.2,0.87
3,0.8,0.2,0.97
4,0.8,0.2,0.94
5,0.8,0.2,0.94
6,0.8,0.2,0.90
7,0.8,0.2,0.97
8,0.8,0.2,0.97
9,0.8,0.2,0.90
10,0.8,0.2,0.94
11,0.8,0.2,0.97
12,0.8,0.2,0.97
3,0.9,0.1,0.88
4,0.9,0.1,0.88
5,0.9,0.1,0.88
6,0.9,0.1,0.94
7,0.9,0.1,0.94
8,0.9,0.1,0.88
9,0.9,0.1,0.94
10,0.9,0.1,0.88
11,0.9,0.1,0.94
12,0.9,0.1,0.88
3,0.9,0.1,0.94
4,0.9,0.1,0.88
5,0.9,0.1,0.94
6,0.9,0.1,0.94
7,0.9,0.1,0.94
8,0.9,0.1,0.75
9,0.9,0.1,0.88
10,0.9,0.1,0.94
11,0.9,0.1,0.88
12,0.9,0.1,0.94
3,0.9,0.1,0.88
4,0.9,0.1,0.81
5,0.9,0.1,0.94
6,0.9,0.1,0.88
7,0.9,0.1,0.94
8,0.9,0.1,0.94
9,0.9,0.1,0.94
10,0.9,0.1,0.88
11,0.9,0.1,0.94
12,0.9,0.1,0.94
3,0.9,0.1,0.88
4,0.9,0.1,0.94
5,0.9,0.1,0.94
6,0.9,0.1,0.81
7,0.9,0.1,0.94
8,0.9,0.1,0.94
9,0.9,0.1,0.94
10,0.9,0.1,0.94
11,0.9,0.1,0.94
12,0.9,0.1,0.88
3,0.9,0.1,0.94
4,0.9,0.1,0.88
5,0.9,0.1,0.88
6,0.9,0.1,0.75
7,0.9,0.1,0.94
8,0.9,0.1,0.94
9,0.9,0.1,0.88
10,0.9,0.1,0.94
11,0.9,0.1,0.81
12,0.9,0.1,0.88
3,0.9,0.1,0.81
4,0.9,0.1,0.94
5,0.9,0.1,0.94
6,0.9,0.1,0.88
7,0.9,0.1,0.94
8,0.9,0.1,0.88
9,0.9,0.1,0.94
10,0.9,0.1,0.94
11,0.9,0.1,0.94
12,0.9,0.1,0.88
3,0.9,0.1,0.94
4,0.9,0.1,0.94
5,0.9,0.1,0.94
6,0.9,0.1,0.88
7,0.9,0.1,0.94
8,0.9,0.1,0.94
9,0.9,0.1,0.94
10,0.9,0.1,0.88
11,0.9,0.1,0.88
12,0.9,0.1,0.94
3,0.9,0.1,0.88
4,0.9,0.1,0.81
5,0.9,0.1,0.94
6,0.9,0.1,0.94
7,0.9,0.1,0.94
8,0.9,0.1,0.88
9,0.9,0.1,0.94
10,0.9,0.1,0.94
11,0.9,0.1,0.88
12,0.9,0.1,0.88
3,0.9,0.1,0.94
4,0.9,0.1,0.88
5,0.9,0.1,0.94
6,0.9,0.1,0.94
7,0.9,0.1,0.94
8,0.9,0.1,0.88
9,0.9,0.1,0.88
10,0.9,0.1,0.81
11,0.9,0.1,0.88
12,0.9,0.1,0.94
3,0.9,0.1,0.88
4,0.9,0.1,0.94
5,0.9,0.1,0.88
6,0.9,0.1,0.81
7,0.9,0.1,0.81
8,0.9,0.1,0.88
9,0.9,0.1,0.88
10,0.9,0.1,0.94
11,0.9,0.1,0.94
12,0.9,0.1,0.94
3,0.9,0.1,0.94
4,0.9,0.1,0.88
5,0.9,0.1,0.94
6,0.9,0.1,0.88
7,0.9,0.1,0.81
8,0.9,0.1,0.94
9,0.9,0.1,0.94
10,0.9,0.1,0.88
11,0.9,0.1,0.94
12,0.9,0.1,0.81
3,0.9,0.1,0.94
4,0.9,0.1,0.88
5,0.9,0.1,0.88
6,0.9,0.1,0.88
7,0.9,0.1,0.94
8,0.9,0.1,0.81
9,0.9,0.1,0.81
10,0.9,0.1,0.88
11,0.9,0.1,0.94
12,0.9,0.1,0.94
3,0.9,0.1,0.94
4,0.9,0.1,0.81
5,0.9,0.1,0.94
6,0.9,0.1,0.94
7,0.9,0.1,0.94
8,0.9,0.1,0.94
9,0.9,0.1,0.94
10,0.9,0.1,0.88
11,0.9,0.1,0.88
12,0.9,0.1,0.88
3,0.9,0.1,0.94
4,0.9,0.1,0.81
5,0.9,0.1,0.88
6,0.9,0.1,0.88
7,0.9,0.1,0.88
8,0.9,0.1,0.88
9,0.9,0.1,0.94
10,0.9,0.1,0.94
11,0.9,0.1,0.88
12,0.9,0.1,0.94
3,0.9,0.1,0.81
4,0.9,0.1,0.94
5,0.9,0.1,0.88
6,0.9,0.1,0.81
7,0.9,0.1,0.88
8,0.9,0.1,0.94
9,0.9,0.1,0.88
10,0.9,0.1,0.94
11,0.9,0.1,0.94
12,0.9,0.1,0.94
3,0.9,0.1,0.88
4,0.9,0.1,0.88
5,0.9,0.1,0.94
6,0.9,0.1,0.88
7,0.9,0.1,0.94
8,0.9,0.1,0.94
9,0.9,0.1,0.88
10,0.9,0.1,0.88
11,0.9,0.1,0.94
12,0.9,0.1,0.94
3,0.9,0.1,0.94
4,0.9,0.1,0.88
5,0.9,0.1,0.88
6,0.9,0.1,0.88
7,0.9,0.1,0.88
8,0.9,0.1,0.94
9,0.9,0.1,0.88
10,0.9,0.1,0.88
11,0.9,0.1,0.94
12,0.9,0.1,0.94
3,0.9,0.1,0.88
4,0.9,0.1,0.94
5,0.9,0.1,0.88
6,0.9,0.1,0.81
7,0.9,0.1,0.94
8,0.9,0.1,0.88
9,0.9,0.1,0.94
10,0.9,0.1,0.88
11,0.9,0.1,0.94
12,0.9,0.1,0.88
3,0.9,0.1,0.88
4,0.9,0.1,0.94
5,0.9,0.1,0.88
6,0.9,0.1,0.88
7,0.9,0.1,0.94
8,0.9,0.1,0.88
9,0.9,0.1,0.94
10,0.9,0.1,0.94
11,0.9,0.1,0.94
12,0.9,0.1,0.94
3,0.9,0.1,0.88
4,0.9,0.1,0.94
5,0.9,0.1,0.88
6,0.9,0.1,0.81
7,0.9,0.1,0.81
8,0.9,0.1,0.88
9,0.9,0.1,0.88
10,0.9,0.1,0.94
11,0.9,0.1,0.94
12,0.9,0.1,0.94
3,0.9,0.1,0.94
4,0.9,0.1,0.88
5,0.9,0.1,0.94
6,0.9,0.1,0.94
7,0.9,0.1,0.94
8,0.9,0.1,0.81
9,0.9,0.1,0.88
10,0.9,0.1,0.88
11,0.9,0.1,0.88
12,0.9,0.1,0.88
3,0.9,0.1,0.88
4,0.9,0.1,0.88
5,0.9,0.1,0.88
6,0.9,0.1,0.94
7,0.9,0.1,0.94
8,0.9,0.1,0.88
9,0.9,0.1,0.88
10,0.9,0.1,0.94
11,0.9,0.1,0.94
12,0.9,0.1,0.94
3,0.9,0.1,0.94
4,0.9,0.1,0.94
5,0.9,0.1,0.88
6,0.9,0.1,0.94
7,0.9,0.1,0.88
8,0.9,0.1,0.88
9,0.9,0.1,0.94
10,0.9,0.1,0.94
11,0.9,0.1,0.94
12,0.9,0.1,0.94
3,0.9,0.1,0.94
4,0.9,0.1,0.88
5,0.9,0.1,0.94
6,0.9,0.1,0.88
7,0.9,0.1,0.88
8,0.9,0.1,0.88
9,0.9,0.1,0.88
10,0.9,0.1,0.88
11,0.9,0.1,0.88
12,0.9,0.1,0.94
3,0.9,0.1,0.94
4,0.9,0.1,0.94
5,0.9,0.1,0.94
6,0.9,0.1,0.88
7,0.9,0.1,0.88
8,0.9,0.1,0.94
9,0.9,0.1,0.88
10,0.9,0.1,0.94
11,0.9,0.1,0.94
12,0.9,0.1,0.75
3,0.9,0.1,0.88
4,0.9,0.1,0.94
5,0.9,0.1,0.88
6,0.9,0.1,0.94
7,0.9,0.1,0.88
8,0.9,0.1,0.88
9,0.9,0.1,0.94
10,0.9,0.1,0.94
11,0.9,0.1,0.94
12,0.9,0.1,0.94
3,0.9,0.1,0.94
4,0.9,0.1,0.88
5,0.9,0.1,0.88
6,0.9,0.1,0.94
7,0.9,0.1,0.94
8,0.9,0.1,0.88
9,0.9,0.1,0.88
10,0.9,0.1,0.88
11,0.9,0.1,0.94
12,0.9,0.1,0.88
3,0.9,0.1,0.94
4,0.9,0.1,0.94
5,0.9,0.1,0.94
6,0.9,0.1,0.88
7,0.9,0.1,0.81
8,0.9,0.1,0.94
9,0.9,0.1,0.94
10,0.9,0.1,0.94
11,0.9,0.1,0.94
12,0.9,0.1,0.88
3,0.9,0.1,0.88
4,0.9,0.1,0.81
5,0.9,0.1,0.94
6,0.9,0.1,0.88
7,0.9,0.1,0.94
8,0.9,0.1,0.94
9,0.9,0.1,0.94
10,0.9,0.1,0.94
11,0.9,0.1,0.94
12,0.9,0.1,0.94
3,0.9,0.1,0.88
4,0.9,0.1,0.94
5,0.9,0.1,0.88
6,0.9,0.1,0.94
7,0.9,0.1,0.94
8,0.9,0.1,0.94
9,0.9,0.1,0.88
10,0.9,0.1,0.94
11,0.9,0.1,0.88
12,0.9,0.1,0.88
3,0.9,0.1,0.88
4,0.9,0.1,0.88
5,0.9,0.1,0.88
6,0.9,0.1,0.81
7,0.9,0.1,0.88
8,0.9,0.1,0.94
9,0.9,0.1,0.94
10,0.9,0.1,0.94
11,0.9,0.1,0.88
12,0.9,0.1,0.94
3,0.9,0.1,0.81
4,0.9,0.1,0.88
5,0.9,0.1,0.81
6,0.9,0.1,0.94
7,0.9,0.1,0.88
8,0.9,0.1,0.94
9,0.9,0.1,0.88
10,0.9,0.1,0.94
11,0.9,0.1,0.88
12,0.9,0.1,0.94
3,0.9,0.1,0.88
4,0.9,0.1,0.94
5,0.9,0.1,0.88
6,0.9,0.1,0.94
7,0.9,0.1,0.94
8,0.9,0.1,0.88
9,0.9,0.1,0.81
10,0.9,0.1,0.88
11,0.9,0.1,0.94
12,0.9,0.1,0.94
3,0.9,0.1,0.94
4,0.9,0.1,0.94
5,0.9,0.1,0.81
6,0.9,0.1,0.94
7,0.9,0.1,0.94
8,0.9,0.1,0.94
9,0.9,0.1,0.88
10,0.9,0.1,0.94
11,0.9,0.1,0.88
12,0.9,0.1,0.94
3,0.9,0.1,0.88
4,0.9,0.1,0.94
5,0.9,0.1,0.94
6,0.9,0.1,0.88
7,0.9,0.1,0.94
8,0.9,0.1,0.94
9,0.9,0.1,0.94
10,0.9,0.1,0.88
11,0.9,0.1,0.88
12,0.9,0.1,0.94
3,0.9,0.1,0.88
4,0.9,0.1,0.94
5,0.9,0.1,0.81
6,0.9,0.1,0.94
7,0.9,0.1,0.94
8,0.9,0.1,0.94
9,0.9,0.1,0.94
10,0.9,0.1,0.81
11,0.9,0.1,0.94
12,0.9,0.1,0.88
3,0.9,0.1,0.94
4,0.9,0.1,0.81
5,0.9,0.1,0.81
6,0.9,0.1,0.88
7,0.9,0.1,0.94
8,0.9,0.1,0.94
9,0.9,0.1,0.81
10,0.9,0.1,0.94
11,0.9,0.1,0.88
12,0.9,0.1,0.94
3,0.9,0.1,0.88
4,0.9,0.1,0.94
5,0.9,0.1,0.94
6,0.9,0.1,0.88
7,0.9,0.1,0.94
8,0.9,0.1,0.88
9,0.9,0.1,0.94
10,0.9,0.1,0.88
11,0.9,0.1,0.94
12,0.9,0.1,0.94
