processing,K,trainingSize,testingSize,ratio
normalization,7,0.9,0.1,0.90
normalization,8,0.9,0.1,0.93
normalization,9,0.9,0.1,0.92
normalization,10,0.9,0.1,0.93
normalization,11,0.9,0.1,0.95
normalization,12,0.9,0.1,0.92
normalization,3,0.9,0.1,0.90
normalization,4,0.9,0.1,0.90
normalization,5,0.9,0.1,0.92
normalization,6,0.9,0.1,0.89
normalization,7,0.9,0.1,0.89
normalization,8,0.9,0.1,0.88
normalization,9,0.9,0.1,0.90
normalization,10,0.9,0.1,0.93
normalization,11,0.9,0.1,0.91
normalization,12,0.9,0.1,0.89
normalization,3,0.9,0.1,0.89
normalization,4,0.9,0.1,0.92
normalization,5,0.9,0.1,0.93
normalization,6,0.9,0.1,0.93
normalization,7,0.9,0.1,0.93
normalization,8,0.9,0.1,0.90
normalization,9,0.9,0.1,0.91
normalization,10,0.9,0.1,0.89
normalization,11,0.9,0.1,0.90
normalization,12,0.9,0.1,0.90
normalization,3,0.9,0.1,0.96
normalization,4,0.9,0.1,0.92
normalization,5,0.9,0.1,0.93
normalization,6,0.9,0.1,0.95
normalization,7,0.9,0.1,0.91
normalization,8,0.9,0.1,0.91
normalization,9,0.9,0.1,0.89
normalization,10,0.9,0.1,0.94
normalization,11,0.9,0.1,0.90
normalization,12,0.9,0.1,0.90
normalization,3,0.9,0.1,0.91
normalization,4,0.9,0.1,0.92
normalization,5,0.9,0.1,0.94
normalization,6,0.9,0.1,0.90
normalization,7,0.9,0.1,0.94
normalization,8,0.9,0.1,0.92
normalization,9,0.9,0.1,0.88
normalization,10,0.9,0.1,0.92
normalization,11,0.9,0.1,0.89
normalization,12,0.9,0.1,0.88
normalization,3,0.9,0.1,0.94
normalization,4,0.9,0.1,0.95
normalization,5,0.9,0.1,0.92
normalization,6,0.9,0.1,0.93
normalization,7,0.9,0.1,0.93
normalization,8,0.9,0.1,0.91
normalization,9,0.9,0.1,0.91
normalization,10,0.9,0.1,0.91
normalization,11,0.9,0.1,0.93
normalization,12,0.9,0.1,0.90
normalization,3,0.9,0.1,0.92
normalization,4,0.9,0.1,0.92
normalization,5,0.9,0.1,0.90
normalization,6,0.9,0.1,0.90
normalization,7,0.9,0.1,0.89
normalization,8,0.9,0.1,0.92
normalization,9,0.9,0.1,0.87
normalization,10,0.9,0.1,0.91
normalization,11,0.9,0.1,0.93
normalization,12,0.9,0.1,0.91
normalization,3,0.9,0.1,0.91
normalization,4,0.9,0.1,0.88
normalization,5,0.9,0.1,0.92
normalization,6,0.9,0.1,0.92
normalization,7,0.9,0.1,0.90
normalization,8,0.9,0.1,0.89
normalization,9,0.9,0.1,0.92
normalization,10,0.9,0.1,0.89
normalization,11,0.9,0.1,0.92
normalization,12,0.9,0.1,0.93
normalization,3,0.9,0.1,0.93
normalization,4,0.9,0.1,0.93
normalization,5,0.9,0.1,0.91
normalization,6,0.9,0.1,0.92
normalization,7,0.9,0.1,0.90
normalization,8,0.9,0.1,0.92
normalization,9,0.9,0.1,0.93
normalization,10,0.9,0.1,0.90
normalization,11,0.9,0.1,0.92
normalization,12,0.9,0.1,0.90
normalization,3,0.2,0.8,0.90
normalization,4,0.2,0.8,0.89
normalization,5,0.2,0.8,0.89
normalization,6,0.2,0.8,0.89
normalization,7,0.2,0.8,0.88
normalization,8,0.2,0.8,0.88
normalization,9,0.2,0.8,0.88
normalization,10,0.2,0.8,0.90
normalization,11,0.2,0.8,0.88
normalization,12,0.2,0.8,0.87
normalization,3,0.2,0.8,0.91
normalization,4,0.2,0.8,0.89
normalization,5,0.2,0.8,0.89
normalization,6,0.2,0.8,0.88
normalization,7,0.2,0.8,0.89
normalization,8,0.2,0.8,0.88
normalization,9,0.2,0.8,0.90
normalization,10,0.2,0.8,0.89
normalization,11,0.2,0.8,0.89
normalization,12,0.2,0.8,0.89
normalization,3,0.2,0.8,0.89
normalization,4,0.2,0.8,0.89
normalization,5,0.2,0.8,0.90
normalization,6,0.2,0.8,0.89
normalization,7,0.2,0.8,0.89
normalization,8,0.2,0.8,0.89
normalization,9,0.2,0.8,0.89
normalization,10,0.2,0.8,0.88
normalization,11,0.2,0.8,0.87
normalization,12,0.2,0.8,0.87
normalization,3,0.2,0.8,0.89
normalization,4,0.2,0.8,0.89
normalization,5,0.2,0.8,0.90
normalization,6,0.2,0.8,0.89
normalization,7,0.2,0.8,0.89
normalization,8,0.2,0.8,0.88
normalization,9,0.2,0.8,0.88
normalization,10,0.2,0.8,0.87
normalization,11,0.2,0.8,0.89
normalization,12,0.2,0.8,0.87
normalization,3,0.2,0.8,0.92
normalization,4,0.2,0.8,0.89
normalization,5,0.2,0.8,0.89
normalization,6,0.2,0.8,0.89
normalization,7,0.2,0.8,0.89
normalization,8,0.2,0.8,0.89
normalization,9,0.2,0.8,0.89
normalization,10,0.2,0.8,0.87
normalization,11,0.2,0.8,0.88
normalization,12,0.2,0.8,0.89
normalization,3,0.2,0.8,0.90
normalization,4,0.2,0.8,0.89
normalization,5,0.2,0.8,0.89
normalization,6,0.2,0.8,0.88
normalization,7,0.2,0.8,0.88
normalization,8,0.2,0.8,0.89
normalization,9,0.2,0.8,0.89
normalization,10,0.2,0.8,0.88
normalization,11,0.2,0.8,0.89
normalization,12,0.2,0.8,0.88
normalization,3,0.2,0.8,0.90
normalization,4,0.2,0.8,0.89
normalization,5,0.2,0.8,0.90
normalization,6,0.2,0.8,0.88
normalization,7,0.2,0.8,0.88
normalization,8,0.2,0.8,0.88
normalization,9,0.2,0.8,0.89
normalization,10,0.2,0.8,0.89
normalization,11,0.2,0.8,0.88
normalization,12,0.2,0.8,0.88
normalization,3,0.2,0.8,0.90
normalization,4,0.2,0.8,0.89
normalization,5,0.2,0.8,0.90
normalization,6,0.2,0.8,0.90
normalization,7,0.2,0.8,0.89
normalization,8,0.2,0.8,0.89
normalization,9,0.2,0.8,0.89
normalization,10,0.2,0.8,0.88
normalization,11,0.2,0.8,0.89
normalization,12,0.2,0.8,0.87
normalization,3,0.2,0.8,0.89
normalization,4,0.2,0.8,0.90
normalization,5,0.2,0.8,0.91
normalization,6,0.2,0.8,0.90
normalization,7,0.2,0.8,0.90
normalization,8,0.2,0.8,0.88
normalization,9,0.2,0.8,0.89
normalization,10,0.2,0.8,0.89
normalization,11,0.2,0.8,0.88
normalization,12,0.2,0.8,0.88
normalization,3,0.2,0.8,0.91
normalization,4,0.2,0.8,0.89
normalization,5,0.2,0.8,0.89
normalization,6,0.2,0.8,0.89
normalization,7,0.2,0.8,0.90
normalization,8,0.2,0.8,0.89
normalization,9,0.2,0.8,0.88
normalization,10,0.2,0.8,0.89
normalization,11,0.2,0.8,0.88
normalization,12,0.2,0.8,0.88
normalization,3,0.3,0.7,0.91
normalization,4,0.3,0.7,0.91
normalization,5,0.3,0.7,0.90
normalization,6,0.3,0.7,0.90
normalization,7,0.3,0.7,0.89
normalization,8,0.3,0.7,0.91
normalization,9,0.3,0.7,0.90
normalization,10,0.3,0.7,0.89
normalization,11,0.3,0.7,0.89
normalization,12,0.3,0.7,0.89
normalization,3,0.3,0.7,0.91
normalization,4,0.3,0.7,0.90
normalization,5,0.3,0.7,0.90
normalization,6,0.3,0.7,0.90
normalization,7,0.3,0.7,0.89
normalization,8,0.3,0.7,0.89
normalization,9,0.3,0.7,0.89
normalization,10,0.3,0.7,0.88
normalization,11,0.3,0.7,0.90
normalization,12,0.3,0.7,0.88
normalization,3,0.3,0.7,0.91
normalization,4,0.3,0.7,0.90
normalization,5,0.3,0.7,0.90
normalization,6,0.3,0.7,0.90
normalization,7,0.3,0.7,0.91
normalization,8,0.3,0.7,0.89
normalization,9,0.3,0.7,0.90
normalization,10,0.3,0.7,0.89
normalization,11,0.3,0.7,0.89
normalization,12,0.3,0.7,0.88
normalization,3,0.3,0.7,0.90
normalization,4,0.3,0.7,0.91
normalization,5,0.3,0.7,0.90
normalization,6,0.3,0.7,0.90
normalization,7,0.3,0.7,0.91
normalization,8,0.3,0.7,0.89
normalization,9,0.3,0.7,0.89
normalization,10,0.3,0.7,0.90
normalization,11,0.3,0.7,0.89
normalization,12,0.3,0.7,0.89
normalization,3,0.3,0.7,0.91
normalization,4,0.3,0.7,0.90
normalization,5,0.3,0.7,0.91
normalization,6,0.3,0.7,0.90
normalization,7,0.3,0.7,0.89
normalization,8,0.3,0.7,0.90
normalization,9,0.3,0.7,0.90
normalization,10,0.3,0.7,0.90
normalization,11,0.3,0.7,0.88
normalization,12,0.3,0.7,0.90
normalization,3,0.3,0.7,0.91
normalization,4,0.3,0.7,0.91
normalization,5,0.3,0.7,0.90
normalization,6,0.3,0.7,0.89
normalization,7,0.3,0.7,0.90
normalization,8,0.3,0.7,0.90
normalization,9,0.3,0.7,0.90
normalization,10,0.3,0.7,0.90
normalization,11,0.3,0.7,0.89
normalization,12,0.3,0.7,0.88
normalization,3,0.3,0.7,0.90
normalization,4,0.3,0.7,0.90
normalization,5,0.3,0.7,0.90
normalization,6,0.3,0.7,0.89
normalization,7,0.3,0.7,0.90
normalization,8,0.3,0.7,0.90
normalization,9,0.3,0.7,0.89
normalization,10,0.3,0.7,0.88
normalization,11,0.3,0.7,0.90
normalization,12,0.3,0.7,0.88
normalization,3,0.3,0.7,0.91
normalization,4,0.3,0.7,0.90
normalization,5,0.3,0.7,0.90
normalization,6,0.3,0.7,0.90
normalization,7,0.3,0.7,0.90
normalization,8,0.3,0.7,0.90
normalization,9,0.3,0.7,0.90
normalization,10,0.3,0.7,0.89
normalization,11,0.3,0.7,0.90
normalization,12,0.3,0.7,0.87
normalization,3,0.3,0.7,0.90
normalization,4,0.3,0.7,0.89
normalization,5,0.3,0.7,0.90
normalization,6,0.3,0.7,0.89
normalization,7,0.3,0.7,0.91
normalization,8,0.3,0.7,0.90
normalization,9,0.3,0.7,0.88
normalization,10,0.3,0.7,0.88
normalization,11,0.3,0.7,0.89
normalization,12,0.3,0.7,0.89
normalization,3,0.3,0.7,0.90
normalization,4,0.3,0.7,0.91
normalization,5,0.3,0.7,0.90
normalization,6,0.3,0.7,0.90
normalization,7,0.3,0.7,0.91
normalization,8,0.3,0.7,0.90
normalization,9,0.3,0.7,0.91
normalization,10,0.3,0.7,0.90
normalization,11,0.3,0.7,0.89
normalization,12,0.3,0.7,0.89
normalization,3,0.4,0.6,0.91
normalization,4,0.4,0.6,0.91
normalization,5,0.4,0.6,0.91
normalization,6,0.4,0.6,0.91
normalization,7,0.4,0.6,0.90
normalization,8,0.4,0.6,0.89
normalization,9,0.4,0.6,0.89
normalization,10,0.4,0.6,0.90
normalization,11,0.4,0.6,0.90
normalization,12,0.4,0.6,0.89
normalization,3,0.4,0.6,0.91
normalization,4,0.4,0.6,0.91
normalization,5,0.4,0.6,0.90
normalization,6,0.4,0.6,0.89
normalization,7,0.4,0.6,0.90
normalization,8,0.4,0.6,0.90
normalization,9,0.4,0.6,0.91
normalization,10,0.4,0.6,0.90
normalization,11,0.4,0.6,0.89
normalization,12,0.4,0.6,0.89
normalization,3,0.4,0.6,0.92
normalization,4,0.4,0.6,0.91
normalization,5,0.4,0.6,0.90
normalization,6,0.4,0.6,0.91
normalization,7,0.4,0.6,0.90
normalization,8,0.4,0.6,0.91
normalization,9,0.4,0.6,0.90
normalization,10,0.4,0.6,0.89
normalization,11,0.4,0.6,0.91
normalization,12,0.4,0.6,0.91
normalization,3,0.4,0.6,0.91
normalization,4,0.4,0.6,0.91
normalization,5,0.4,0.6,0.91
normalization,6,0.4,0.6,0.91
normalization,7,0.4,0.6,0.90
normalization,8,0.4,0.6,0.90
normalization,9,0.4,0.6,0.90
normalization,10,0.4,0.6,0.89
normalization,11,0.4,0.6,0.89
normalization,12,0.4,0.6,0.90
normalization,3,0.4,0.6,0.91
normalization,4,0.4,0.6,0.92
normalization,5,0.4,0.6,0.90
normalization,6,0.4,0.6,0.90
normalization,7,0.4,0.6,0.92
normalization,8,0.4,0.6,0.90
normalization,9,0.4,0.6,0.91
normalization,10,0.4,0.6,0.89
normalization,11,0.4,0.6,0.89
normalization,12,0.4,0.6,0.91
normalization,3,0.4,0.6,0.92
normalization,4,0.4,0.6,0.90
normalization,5,0.4,0.6,0.91
normalization,6,0.4,0.6,0.89
normalization,7,0.4,0.6,0.90
normalization,8,0.4,0.6,0.89
normalization,9,0.4,0.6,0.91
normalization,10,0.4,0.6,0.90
normalization,11,0.4,0.6,0.89
normalization,12,0.4,0.6,0.89
normalization,3,0.4,0.6,0.91
normalization,4,0.4,0.6,0.91
normalization,5,0.4,0.6,0.91
normalization,6,0.4,0.6,0.91
normalization,7,0.4,0.6,0.91
normalization,8,0.4,0.6,0.89
normalization,9,0.4,0.6,0.90
normalization,10,0.4,0.6,0.89
normalization,11,0.4,0.6,0.89
normalization,12,0.4,0.6,0.89
normalization,3,0.4,0.6,0.91
normalization,4,0.4,0.6,0.90
normalization,5,0.4,0.6,0.91
normalization,6,0.4,0.6,0.91
normalization,7,0.4,0.6,0.91
normalization,8,0.4,0.6,0.90
normalization,9,0.4,0.6,0.90
normalization,10,0.4,0.6,0.90
normalization,11,0.4,0.6,0.90
normalization,12,0.4,0.6,0.90
normalization,3,0.4,0.6,0.92
normalization,4,0.4,0.6,0.91
normalization,5,0.4,0.6,0.90
normalization,6,0.4,0.6,0.90
normalization,7,0.4,0.6,0.91
normalization,8,0.4,0.6,0.90
normalization,9,0.4,0.6,0.91
normalization,10,0.4,0.6,0.89
normalization,11,0.4,0.6,0.91
normalization,12,0.4,0.6,0.89
normalization,3,0.4,0.6,0.91
normalization,4,0.4,0.6,0.90
normalization,5,0.4,0.6,0.91
normalization,6,0.4,0.6,0.91
normalization,7,0.4,0.6,0.90
normalization,8,0.4,0.6,0.90
normalization,9,0.4,0.6,0.91
normalization,10,0.4,0.6,0.90
normalization,11,0.4,0.6,0.90
normalization,12,0.4,0.6,0.89
normalization,3,0.5,0.5,0.95
normalization,4,0.5,0.5,0.93
normalization,5,0.5,0.5,0.94
normalization,6,0.5,0.5,0.91
normalization,7,0.5,0.5,0.92
normalization,8,0.5,0.5,0.91
normalization,9,0.5,0.5,0.92
normalization,10,0.5,0.5,0.92
normalization,11,0.5,0.5,0.91
normalization,12,0.5,0.5,0.91
normalization,3,0.5,0.5,0.95
normalization,4,0.5,0.5,0.94
normalization,5,0.5,0.5,0.93
normalization,6,0.5,0.5,0.93
normalization,7,0.5,0.5,0.93
normalization,8,0.5,0.5,0.91
normalization,9,0.5,0.5,0.91
normalization,10,0.5,0.5,0.90
normalization,11,0.5,0.5,0.91
normalization,12,0.5,0.5,0.90
normalization,3,0.5,0.5,0.95
normalization,4,0.5,0.5,0.94
normalization,5,0.5,0.5,0.94
normalization,6,0.5,0.5,0.92
normalization,7,0.5,0.5,0.93
normalization,8,0.5,0.5,0.91
normalization,9,0.5,0.5,0.92
normalization,10,0.5,0.5,0.92
normalization,11,0.5,0.5,0.92
normalization,12,0.5,0.5,0.91
normalization,3,0.5,0.5,0.96
normalization,4,0.5,0.5,0.94
normalization,5,0.5,0.5,0.93
normalization,6,0.5,0.5,0.92
normalization,7,0.5,0.5,0.92
normalization,8,0.5,0.5,0.91
normalization,9,0.5,0.5,0.92
normalization,10,0.5,0.5,0.91
normalization,11,0.5,0.5,0.91
normalization,12,0.5,0.5,0.91
normalization,3,0.5,0.5,0.95
normalization,4,0.5,0.5,0.93
normalization,5,0.5,0.5,0.94
normalization,6,0.5,0.5,0.92
normalization,7,0.5,0.5,0.93
normalization,8,0.5,0.5,0.93
normalization,9,0.5,0.5,0.92
normalization,10,0.5,0.5,0.91
normalization,11,0.5,0.5,0.91
normalization,12,0.5,0.5,0.91
normalization,3,0.5,0.5,0.95
normalization,4,0.5,0.5,0.94
normalization,5,0.5,0.5,0.94
normalization,6,0.5,0.5,0.92
normalization,7,0.5,0.5,0.92
normalization,8,0.5,0.5,0.91
normalization,9,0.5,0.5,0.93
normalization,10,0.5,0.5,0.91
normalization,11,0.5,0.5,0.92
normalization,12,0.5,0.5,0.91
normalization,3,0.5,0.5,0.94
normalization,4,0.5,0.5,0.93
normalization,5,0.5,0.5,0.94
normalization,6,0.5,0.5,0.93
normalization,7,0.5,0.5,0.92
normalization,8,0.5,0.5,0.92
normalization,9,0.5,0.5,0.92
normalization,10,0.5,0.5,0.91
normalization,11,0.5,0.5,0.92
normalization,12,0.5,0.5,0.91
normalization,3,0.5,0.5,0.94
normalization,4,0.5,0.5,0.93
normalization,5,0.5,0.5,0.94
normalization,6,0.5,0.5,0.91
normalization,7,0.5,0.5,0.93
normalization,8,0.5,0.5,0.91
normalization,9,0.5,0.5,0.91
normalization,10,0.5,0.5,0.91
normalization,11,0.5,0.5,0.92
normalization,12,0.5,0.5,0.90
normalization,3,0.5,0.5,0.95
normalization,4,0.5,0.5,0.94
normalization,5,0.5,0.5,0.93
normalization,6,0.5,0.5,0.92
normalization,7,0.5,0.5,0.93
normalization,8,0.5,0.5,0.92
normalization,9,0.5,0.5,0.92
normalization,10,0.5,0.5,0.90
normalization,11,0.5,0.5,0.91
normalization,12,0.5,0.5,0.91
normalization,3,0.5,0.5,0.95
normalization,4,0.5,0.5,0.94
normalization,5,0.5,0.5,0.94
normalization,6,0.5,0.5,0.92
normalization,7,0.5,0.5,0.92
normalization,8,0.5,0.5,0.92
normalization,9,0.5,0.5,0.92
normalization,10,0.5,0.5,0.91
normalization,11,0.5,0.5,0.92
normalization,12,0.5,0.5,0.91
normalization,3,0.6,0.4,0.92
normalization,4,0.6,0.4,0.92
normalization,5,0.6,0.4,0.91
normalization,6,0.6,0.4,0.92
normalization,7,0.6,0.4,0.91
normalization,8,0.6,0.4,0.90
normalization,9,0.6,0.4,0.90
normalization,10,0.6,0.4,0.90
normalization,11,0.6,0.4,0.91
normalization,12,0.6,0.4,0.90
normalization,3,0.6,0.4,0.92
normalization,4,0.6,0.4,0.90
normalization,5,0.6,0.4,0.89
normalization,6,0.6,0.4,0.90
normalization,7,0.6,0.4,0.91
normalization,8,0.6,0.4,0.89
normalization,9,0.6,0.4,0.91
normalization,10,0.6,0.4,0.91
normalization,11,0.6,0.4,0.89
normalization,12,0.6,0.4,0.90
normalization,3,0.6,0.4,0.92
normalization,4,0.6,0.4,0.92
normalization,5,0.6,0.4,0.92
normalization,6,0.6,0.4,0.91
normalization,7,0.6,0.4,0.90
normalization,8,0.6,0.4,0.91
normalization,9,0.6,0.4,0.91
normalization,10,0.6,0.4,0.90
normalization,11,0.6,0.4,0.91
normalization,12,0.6,0.4,0.91
normalization,3,0.6,0.4,0.92
normalization,4,0.6,0.4,0.90
normalization,5,0.6,0.4,0.92
normalization,6,0.6,0.4,0.91
normalization,7,0.6,0.4,0.91
normalization,8,0.6,0.4,0.90
normalization,9,0.6,0.4,0.91
normalization,10,0.6,0.4,0.90
normalization,11,0.6,0.4,0.90
normalization,12,0.6,0.4,0.90
normalization,3,0.6,0.4,0.93
normalization,4,0.6,0.4,0.91
normalization,5,0.6,0.4,0.92
normalization,6,0.6,0.4,0.92
normalization,7,0.6,0.4,0.91
normalization,8,0.6,0.4,0.91
normalization,9,0.6,0.4,0.91
normalization,10,0.6,0.4,0.90
normalization,11,0.6,0.4,0.91
normalization,12,0.6,0.4,0.89
normalization,3,0.6,0.4,0.91
normalization,4,0.6,0.4,0.93
normalization,5,0.6,0.4,0.92
normalization,6,0.6,0.4,0.92
normalization,7,0.6,0.4,0.91
normalization,8,0.6,0.4,0.91
normalization,9,0.6,0.4,0.91
normalization,10,0.6,0.4,0.91
normalization,11,0.6,0.4,0.88
normalization,12,0.6,0.4,0.91
normalization,3,0.6,0.4,0.91
normalization,4,0.6,0.4,0.89
normalization,5,0.6,0.4,0.92
normalization,6,0.6,0.4,0.91
normalization,7,0.6,0.4,0.91
normalization,8,0.6,0.4,0.90
normalization,9,0.6,0.4,0.91
normalization,10,0.6,0.4,0.91
normalization,11,0.6,0.4,0.90
normalization,12,0.6,0.4,0.91
normalization,3,0.6,0.4,0.91
normalization,4,0.6,0.4,0.92
normalization,5,0.6,0.4,0.91
normalization,6,0.6,0.4,0.90
normalization,7,0.6,0.4,0.91
normalization,8,0.6,0.4,0.89
normalization,9,0.6,0.4,0.90
normalization,10,0.6,0.4,0.88
normalization,11,0.6,0.4,0.93
normalization,12,0.6,0.4,0.90
normalization,3,0.6,0.4,0.92
normalization,4,0.6,0.4,0.90
normalization,5,0.6,0.4,0.92
normalization,6,0.6,0.4,0.91
normalization,7,0.6,0.4,0.92
normalization,8,0.6,0.4,0.91
normalization,9,0.6,0.4,0.90
normalization,10,0.6,0.4,0.90
normalization,11,0.6,0.4,0.90
normalization,12,0.6,0.4,0.90
normalization,3,0.6,0.4,0.91
normalization,4,0.6,0.4,0.91
normalization,5,0.6,0.4,0.90
normalization,6,0.6,0.4,0.90
normalization,7,0.6,0.4,0.92
normalization,8,0.6,0.4,0.90
normalization,9,0.6,0.4,0.91
normalization,10,0.6,0.4,0.90
normalization,11,0.6,0.4,0.91
normalization,12,0.6,0.4,0.89
normalization,3,0.7,0.3,0.94
normalization,4,0.7,0.3,0.91
normalization,5,0.7,0.3,0.92
normalization,6,0.7,0.3,0.93
normalization,7,0.7,0.3,0.90
normalization,8,0.7,0.3,0.92
normalization,9,0.7,0.3,0.91
normalization,10,0.7,0.3,0.92
normalization,11,0.7,0.3,0.93
normalization,12,0.7,0.3,0.89
normalization,3,0.7,0.3,0.91
normalization,4,0.7,0.3,0.93
normalization,5,0.7,0.3,0.91
normalization,6,0.7,0.3,0.92
normalization,7,0.7,0.3,0.92
normalization,8,0.7,0.3,0.93
normalization,9,0.7,0.3,0.92
normalization,10,0.7,0.3,0.91
normalization,11,0.7,0.3,0.92
normalization,12,0.7,0.3,0.91
normalization,3,0.7,0.3,0.92
normalization,4,0.7,0.3,0.92
normalization,5,0.7,0.3,0.90
normalization,6,0.7,0.3,0.90
normalization,7,0.7,0.3,0.90
normalization,8,0.7,0.3,0.91
normalization,9,0.7,0.3,0.92
normalization,10,0.7,0.3,0.89
normalization,11,0.7,0.3,0.92
normalization,12,0.7,0.3,0.90
normalization,3,0.7,0.3,0.92
normalization,4,0.7,0.3,0.92
normalization,5,0.7,0.3,0.92
normalization,6,0.7,0.3,0.90
normalization,7,0.7,0.3,0.91
normalization,8,0.7,0.3,0.92
normalization,9,0.7,0.3,0.92
normalization,10,0.7,0.3,0.89
normalization,11,0.7,0.3,0.91
normalization,12,0.7,0.3,0.88
normalization,3,0.7,0.3,0.91
normalization,4,0.7,0.3,0.92
normalization,5,0.7,0.3,0.92
normalization,6,0.7,0.3,0.89
normalization,7,0.7,0.3,0.90
normalization,8,0.7,0.3,0.92
normalization,9,0.7,0.3,0.90
normalization,10,0.7,0.3,0.91
normalization,11,0.7,0.3,0.91
normalization,12,0.7,0.3,0.91
normalization,3,0.7,0.3,0.93
normalization,4,0.7,0.3,0.91
normalization,5,0.7,0.3,0.89
normalization,6,0.7,0.3,0.90
normalization,7,0.7,0.3,0.92
normalization,8,0.7,0.3,0.90
normalization,9,0.7,0.3,0.92
normalization,10,0.7,0.3,0.92
normalization,11,0.7,0.3,0.90
normalization,12,0.7,0.3,0.88
normalization,3,0.7,0.3,0.91
normalization,4,0.7,0.3,0.92
normalization,5,0.7,0.3,0.92
normalization,6,0.7,0.3,0.91
normalization,7,0.7,0.3,0.91
normalization,8,0.7,0.3,0.92
normalization,9,0.7,0.3,0.93
normalization,10,0.7,0.3,0.91
normalization,11,0.7,0.3,0.88
normalization,12,0.7,0.3,0.89
normalization,3,0.7,0.3,0.93
normalization,4,0.7,0.3,0.92
normalization,5,0.7,0.3,0.91
normalization,6,0.7,0.3,0.91
normalization,7,0.7,0.3,0.91
normalization,8,0.7,0.3,0.88
normalization,9,0.7,0.3,0.91
normalization,10,0.7,0.3,0.91
normalization,11,0.7,0.3,0.91
normalization,12,0.7,0.3,0.91
normalization,3,0.7,0.3,0.93
normalization,4,0.7,0.3,0.89
normalization,5,0.7,0.3,0.91
normalization,6,0.7,0.3,0.90
normalization,7,0.7,0.3,0.91
normalization,8,0.7,0.3,0.90
normalization,9,0.7,0.3,0.92
normalization,10,0.7,0.3,0.91
normalization,11,0.7,0.3,0.92
normalization,12,0.7,0.3,0.91
normalization,3,0.7,0.3,0.90
normalization,4,0.7,0.3,0.92
normalization,5,0.7,0.3,0.92
normalization,6,0.7,0.3,0.91
normalization,7,0.7,0.3,0.91
normalization,8,0.7,0.3,0.92
normalization,9,0.7,0.3,0.92
normalization,10,0.7,0.3,0.91
normalization,11,0.7,0.3,0.91
normalization,12,0.7,0.3,0.91
normalization,3,0.8,0.2,0.91
normalization,4,0.8,0.2,0.93
normalization,5,0.8,0.2,0.93
normalization,6,0.8,0.2,0.90
normalization,7,0.8,0.2,0.90
normalization,8,0.8,0.2,0.93
normalization,9,0.8,0.2,0.91
normalization,10,0.8,0.2,0.90
normalization,11,0.8,0.2,0.91
normalization,12,0.8,0.2,0.92
normalization,3,0.8,0.2,0.92
normalization,4,0.8,0.2,0.93
normalization,5,0.8,0.2,0.93
normalization,6,0.8,0.2,0.93
normalization,7,0.8,0.2,0.92
normalization,8,0.8,0.2,0.90
normalization,9,0.8,0.2,0.93
normalization,10,0.8,0.2,0.90
normalization,11,0.8,0.2,0.89
normalization,12,0.8,0.2,0.89
normalization,3,0.8,0.2,0.92
normalization,4,0.8,0.2,0.90
normalization,5,0.8,0.2,0.94
normalization,6,0.8,0.2,0.91
normalization,7,0.8,0.2,0.91
normalization,8,0.8,0.2,0.91
normalization,9,0.8,0.2,0.91
normalization,10,0.8,0.2,0.90
normalization,11,0.8,0.2,0.94
normalization,12,0.8,0.2,0.92
normalization,3,0.8,0.2,0.94
normalization,4,0.8,0.2,0.91
normalization,5,0.8,0.2,0.91
normalization,6,0.8,0.2,0.91
normalization,7,0.8,0.2,0.91
normalization,8,0.8,0.2,0.89
normalization,9,0.8,0.2,0.94
normalization,10,0.8,0.2,0.90
normalization,11,0.8,0.2,0.91
normalization,12,0.8,0.2,0.90
normalization,3,0.8,0.2,0.92
normalization,4,0.8,0.2,0.91
normalization,5,0.8,0.2,0.93
normalization,6,0.8,0.2,0.92
normalization,7,0.8,0.2,0.91
normalization,8,0.8,0.2,0.92
normalization,9,0.8,0.2,0.92
normalization,10,0.8,0.2,0.90
normalization,11,0.8,0.2,0.91
normalization,12,0.8,0.2,0.89
normalization,3,0.8,0.2,0.93
normalization,4,0.8,0.2,0.90
normalization,5,0.8,0.2,0.93
normalization,6,0.8,0.2,0.92
normalization,7,0.8,0.2,0.90
normalization,8,0.8,0.2,0.91
normalization,9,0.8,0.2,0.89
normalization,10,0.8,0.2,0.89
normalization,11,0.8,0.2,0.92
normalization,12,0.8,0.2,0.89
normalization,3,0.8,0.2,0.92
normalization,4,0.8,0.2,0.93
normalization,5,0.8,0.2,0.93
normalization,6,0.8,0.2,0.93
normalization,7,0.8,0.2,0.92
normalization,8,0.8,0.2,0.91
normalization,9,0.8,0.2,0.91
normalization,10,0.8,0.2,0.91
normalization,11,0.8,0.2,0.92
normalization,12,0.8,0.2,0.92
normalization,3,0.8,0.2,0.93
normalization,4,0.8,0.2,0.92
normalization,5,0.8,0.2,0.89
normalization,6,0.8,0.2,0.92
normalization,7,0.8,0.2,0.92
normalization,8,0.8,0.2,0.89
normalization,9,0.8,0.2,0.93
normalization,10,0.8,0.2,0.92
normalization,11,0.8,0.2,0.89
normalization,12,0.8,0.2,0.90
normalization,3,0.8,0.2,0.90
normalization,4,0.8,0.2,0.92
normalization,5,0.8,0.2,0.92
normalization,6,0.8,0.2,0.91
normalization,7,0.8,0.2,0.92
normalization,8,0.8,0.2,0.91
normalization,9,0.8,0.2,0.91
normalization,10,0.8,0.2,0.90
normalization,11,0.8,0.2,0.91
normalization,12,0.8,0.2,0.92
