K,trainingSize,testingSize,ratio
7,0.1,0.9,0.86
7,0.9,0.1,0.89
8,0.1,0.9,0.86
8,0.9,0.1,0.89
9,0.1,0.9,0.87
9,0.9,0.1,0.90
10,0.1,0.9,0.84
11,0.1,0.9,0.85
10,0.9,0.1,0.90
12,0.1,0.9,0.84
11,0.9,0.1,0.90
3,0.1,0.9,0.86
12,0.9,0.1,0.85
4,0.1,0.9,0.86
3,0.9,0.1,0.90
5,0.1,0.9,0.87
4,0.9,0.1,0.87
6,0.1,0.9,0.85
5,0.9,0.1,0.87
7,0.1,0.9,0.85
6,0.9,0.1,0.87
8,0.1,0.9,0.87
7,0.9,0.1,0.90
9,0.1,0.9,0.87
8,0.9,0.1,0.88
10,0.1,0.9,0.85
9,0.9,0.1,0.91
11,0.1,0.9,0.84
10,0.9,0.1,0.88
12,0.1,0.9,0.84
11,0.9,0.1,0.89
3,0.2,0.8,0.86
12,0.9,0.1,0.90
3,0.9,0.1,0.90
4,0.2,0.8,0.87
4,0.9,0.1,0.87
5,0.9,0.1,0.87
5,0.2,0.8,0.87
6,0.9,0.1,0.88
6,0.2,0.8,0.87
7,0.9,0.1,0.89
8,0.9,0.1,0.85
7,0.2,0.8,0.87
9,0.9,0.1,0.86
10,0.9,0.1,0.90
8,0.2,0.8,0.87
11,0.9,0.1,0.89
9,0.2,0.8,0.86
12,0.9,0.1,0.90
3,0.9,0.1,0.91
10,0.2,0.8,0.87
4,0.9,0.1,0.89
11,0.2,0.8,0.87
5,0.9,0.1,0.92
6,0.9,0.1,0.89
12,0.2,0.8,0.85
7,0.9,0.1,0.91
8,0.9,0.1,0.92
3,0.2,0.8,0.87
9,0.9,0.1,0.87
4,0.2,0.8,0.86
10,0.9,0.1,0.87
11,0.9,0.1,0.86
5,0.2,0.8,0.86
12,0.9,0.1,0.85
3,0.9,0.1,0.89
6,0.2,0.8,0.87
4,0.9,0.1,0.90
7,0.2,0.8,0.88
5,0.9,0.1,0.85
6,0.9,0.1,0.89
8,0.2,0.8,0.86
7,0.9,0.1,0.92
8,0.9,0.1,0.88
9,0.2,0.8,0.86
9,0.9,0.1,0.87
10,0.2,0.8,0.86
10,0.9,0.1,0.88
11,0.9,0.1,0.91
11,0.2,0.8,0.87
12,0.9,0.1,0.88
12,0.2,0.8,0.86
3,0.2,0.8,0.88
3,0.2,0.8,0.88
4,0.2,0.8,0.87
4,0.2,0.8,0.87
5,0.2,0.8,0.87
5,0.2,0.8,0.87
6,0.2,0.8,0.87
6,0.2,0.8,0.86
7,0.2,0.8,0.87
7,0.2,0.8,0.87
8,0.2,0.8,0.87
8,0.2,0.8,0.87
9,0.2,0.8,0.86
9,0.2,0.8,0.86
10,0.2,0.8,0.86
10,0.2,0.8,0.86
11,0.2,0.8,0.88
11,0.2,0.8,0.85
12,0.2,0.8,0.86
12,0.2,0.8,0.87
3,0.2,0.8,0.87
3,0.2,0.8,0.87
4,0.2,0.8,0.88
4,0.2,0.8,0.88
5,0.2,0.8,0.87
5,0.2,0.8,0.88
6,0.2,0.8,0.86
6,0.2,0.8,0.86
7,0.2,0.8,0.86
7,0.2,0.8,0.86
8,0.2,0.8,0.87
8,0.2,0.8,0.89
9,0.2,0.8,0.87
9,0.2,0.8,0.88
10,0.2,0.8,0.85
10,0.2,0.8,0.87
11,0.2,0.8,0.86
11,0.2,0.8,0.86
12,0.2,0.8,0.85
12,0.2,0.8,0.85
3,0.2,0.8,0.87
3,0.2,0.8,0.87
4,0.2,0.8,0.89
4,0.2,0.8,0.87
5,0.2,0.8,0.86
5,0.2,0.8,0.87
6,0.2,0.8,0.86
6,0.2,0.8,0.87
7,0.2,0.8,0.88
7,0.2,0.8,0.87
8,0.2,0.8,0.86
8,0.2,0.8,0.88
9,0.2,0.8,0.87
9,0.2,0.8,0.87
10,0.2,0.8,0.86
10,0.2,0.8,0.86
11,0.2,0.8,0.85
11,0.2,0.8,0.87
12,0.2,0.8,0.87
12,0.2,0.8,0.85
3,0.2,0.8,0.88
3,0.2,0.8,0.88
4,0.2,0.8,0.87
4,0.2,0.8,0.88
5,0.2,0.8,0.86
5,0.2,0.8,0.87
6,0.2,0.8,0.87
6,0.2,0.8,0.87
7,0.2,0.8,0.87
7,0.2,0.8,0.87
8,0.2,0.8,0.86
8,0.2,0.8,0.87
9,0.2,0.8,0.85
9,0.2,0.8,0.86
10,0.2,0.8,0.86
10,0.2,0.8,0.86
11,0.2,0.8,0.88
11,0.2,0.8,0.86
12,0.2,0.8,0.85
12,0.2,0.8,0.86
3,0.2,0.8,0.88
3,0.2,0.8,0.88
4,0.2,0.8,0.87
4,0.2,0.8,0.87
5,0.2,0.8,0.87
5,0.2,0.8,0.87
6,0.2,0.8,0.87
6,0.2,0.8,0.87
7,0.2,0.8,0.87
7,0.2,0.8,0.87
8,0.2,0.8,0.86
8,0.2,0.8,0.87
9,0.2,0.8,0.87
9,0.2,0.8,0.87
10,0.2,0.8,0.87
10,0.2,0.8,0.86
11,0.2,0.8,0.87
11,0.2,0.8,0.87
12,0.2,0.8,0.86
12,0.2,0.8,0.86
3,0.2,0.8,0.86
3,0.2,0.8,0.88
4,0.2,0.8,0.88
4,0.2,0.8,0.88
5,0.2,0.8,0.87
5,0.2,0.8,0.87
6,0.2,0.8,0.86
6,0.2,0.8,0.87
7,0.2,0.8,0.87
7,0.2,0.8,0.87
8,0.2,0.8,0.87
8,0.2,0.8,0.86
9,0.2,0.8,0.86
9,0.2,0.8,0.85
10,0.2,0.8,0.86
10,0.2,0.8,0.87
11,0.2,0.8,0.86
11,0.2,0.8,0.88
12,0.2,0.8,0.86
12,0.2,0.8,0.87
3,0.2,0.8,0.87
3,0.2,0.8,0.87
4,0.2,0.8,0.88
4,0.2,0.8,0.87
5,0.2,0.8,0.88
5,0.2,0.8,0.87
6,0.2,0.8,0.88
6,0.2,0.8,0.87
7,0.2,0.8,0.88
7,0.2,0.8,0.88
8,0.2,0.8,0.86
8,0.2,0.8,0.86
9,0.2,0.8,0.85
9,0.2,0.8,0.86
10,0.2,0.8,0.87
10,0.2,0.8,0.87
11,0.2,0.8,0.87
11,0.2,0.8,0.86
12,0.2,0.8,0.87
12,0.2,0.8,0.86
3,0.2,0.8,0.86
3,0.2,0.8,0.87
4,0.2,0.8,0.86
4,0.2,0.8,0.86
5,0.2,0.8,0.86
5,0.2,0.8,0.87
6,0.2,0.8,0.88
6,0.2,0.8,0.87
7,0.2,0.8,0.88
7,0.2,0.8,0.88
8,0.2,0.8,0.88
8,0.2,0.8,0.87
9,0.2,0.8,0.88
9,0.2,0.8,0.87
10,0.2,0.8,0.86
10,0.2,0.8,0.86
11,0.2,0.8,0.87
11,0.2,0.8,0.87
12,0.2,0.8,0.87
12,0.2,0.8,0.86
3,0.2,0.8,0.88
4,0.2,0.8,0.87
3,0.3,0.7,0.89
5,0.2,0.8,0.86
4,0.3,0.7,0.89
6,0.2,0.8,0.87
5,0.3,0.7,0.88
7,0.2,0.8,0.87
8,0.2,0.8,0.88
6,0.3,0.7,0.87
9,0.2,0.8,0.87
7,0.3,0.7,0.88
10,0.2,0.8,0.86
8,0.3,0.7,0.87
11,0.2,0.8,0.87
12,0.2,0.8,0.87
9,0.3,0.7,0.87
3,0.2,0.8,0.86
10,0.3,0.7,0.88
4,0.2,0.8,0.87
11,0.3,0.7,0.88
5,0.2,0.8,0.87
6,0.2,0.8,0.86
12,0.3,0.7,0.87
7,0.2,0.8,0.88
3,0.3,0.7,0.88
8,0.2,0.8,0.86
4,0.3,0.7,0.87
9,0.2,0.8,0.87
10,0.2,0.8,0.86
5,0.3,0.7,0.88
11,0.2,0.8,0.87
6,0.3,0.7,0.88
12,0.2,0.8,0.86
7,0.3,0.7,0.88
3,0.3,0.7,0.88
8,0.3,0.7,0.87
4,0.3,0.7,0.88
9,0.3,0.7,0.88
5,0.3,0.7,0.88
10,0.3,0.7,0.87
6,0.3,0.7,0.87
11,0.3,0.7,0.87
7,0.3,0.7,0.87
12,0.3,0.7,0.86
8,0.3,0.7,0.87
3,0.3,0.7,0.88
9,0.3,0.7,0.87
4,0.3,0.7,0.87
10,0.3,0.7,0.89
5,0.3,0.7,0.87
11,0.3,0.7,0.88
6,0.3,0.7,0.87
12,0.3,0.7,0.87
7,0.3,0.7,0.87
3,0.3,0.7,0.88
8,0.3,0.7,0.87
4,0.3,0.7,0.87
9,0.3,0.7,0.88
5,0.3,0.7,0.87
10,0.3,0.7,0.87
6,0.3,0.7,0.87
11,0.3,0.7,0.87
7,0.3,0.7,0.89
12,0.3,0.7,0.87
8,0.3,0.7,0.87
3,0.3,0.7,0.89
9,0.3,0.7,0.87
4,0.3,0.7,0.88
10,0.3,0.7,0.86
5,0.3,0.7,0.88
11,0.3,0.7,0.86
6,0.3,0.7,0.88
12,0.3,0.7,0.87
7,0.3,0.7,0.87
3,0.3,0.7,0.87
8,0.3,0.7,0.88
4,0.3,0.7,0.88
9,0.3,0.7,0.90
5,0.3,0.7,0.88
10,0.3,0.7,0.87
6,0.3,0.7,0.87
11,0.3,0.7,0.87
7,0.3,0.7,0.88
12,0.3,0.7,0.86
8,0.3,0.7,0.88
3,0.3,0.7,0.89
9,0.3,0.7,0.87
4,0.3,0.7,0.87
10,0.3,0.7,0.87
5,0.3,0.7,0.88
11,0.3,0.7,0.87
6,0.3,0.7,0.88
12,0.3,0.7,0.87
7,0.3,0.7,0.88
3,0.3,0.7,0.89
8,0.3,0.7,0.86
4,0.3,0.7,0.87
9,0.3,0.7,0.88
5,0.3,0.7,0.87
10,0.3,0.7,0.86
6,0.3,0.7,0.87
11,0.3,0.7,0.87
7,0.3,0.7,0.88
12,0.3,0.7,0.87
8,0.3,0.7,0.87
3,0.3,0.7,0.88
9,0.3,0.7,0.87
4,0.3,0.7,0.89
10,0.3,0.7,0.87
5,0.3,0.7,0.87
11,0.3,0.7,0.87
6,0.3,0.7,0.88
12,0.3,0.7,0.87
7,0.3,0.7,0.87
3,0.3,0.7,0.88
8,0.3,0.7,0.88
4,0.3,0.7,0.87
9,0.3,0.7,0.87
5,0.3,0.7,0.88
10,0.3,0.7,0.87
6,0.3,0.7,0.89
11,0.3,0.7,0.87
7,0.3,0.7,0.86
12,0.3,0.7,0.86
8,0.3,0.7,0.88
3,0.3,0.7,0.88
9,0.3,0.7,0.87
4,0.3,0.7,0.88
10,0.3,0.7,0.87
5,0.3,0.7,0.89
11,0.3,0.7,0.87
6,0.3,0.7,0.87
12,0.3,0.7,0.87
7,0.3,0.7,0.89
3,0.3,0.7,0.89
8,0.3,0.7,0.88
4,0.3,0.7,0.87
9,0.3,0.7,0.86
5,0.3,0.7,0.87
10,0.3,0.7,0.87
6,0.3,0.7,0.88
11,0.3,0.7,0.87
7,0.3,0.7,0.89
12,0.3,0.7,0.87
8,0.3,0.7,0.87
3,0.3,0.7,0.88
9,0.3,0.7,0.87
4,0.3,0.7,0.87
10,0.3,0.7,0.87
5,0.3,0.7,0.88
11,0.3,0.7,0.87
6,0.3,0.7,0.87
12,0.3,0.7,0.86
7,0.3,0.7,0.89
3,0.3,0.7,0.88
8,0.3,0.7,0.87
4,0.3,0.7,0.88
9,0.3,0.7,0.88
5,0.3,0.7,0.89
10,0.3,0.7,0.87
6,0.3,0.7,0.87
11,0.3,0.7,0.87
7,0.3,0.7,0.87
12,0.3,0.7,0.87
8,0.3,0.7,0.88
3,0.3,0.7,0.87
9,0.3,0.7,0.89
4,0.3,0.7,0.87
10,0.3,0.7,0.87
5,0.3,0.7,0.88
11,0.3,0.7,0.86
6,0.3,0.7,0.88
12,0.3,0.7,0.88
7,0.3,0.7,0.88
3,0.3,0.7,0.88
8,0.3,0.7,0.87
4,0.3,0.7,0.87
9,0.3,0.7,0.87
5,0.3,0.7,0.88
10,0.3,0.7,0.89
6,0.3,0.7,0.87
11,0.3,0.7,0.86
7,0.3,0.7,0.88
12,0.3,0.7,0.87
8,0.3,0.7,0.87
3,0.3,0.7,0.87
9,0.3,0.7,0.88
4,0.3,0.7,0.87
10,0.3,0.7,0.87
5,0.3,0.7,0.87
11,0.3,0.7,0.89
6,0.3,0.7,0.87
12,0.3,0.7,0.87
7,0.3,0.7,0.88
3,0.3,0.7,0.87
8,0.3,0.7,0.87
4,0.3,0.7,0.88
9,0.3,0.7,0.87
5,0.3,0.7,0.88
10,0.3,0.7,0.87
6,0.3,0.7,0.88
11,0.3,0.7,0.87
7,0.3,0.7,0.88
12,0.3,0.7,0.87
8,0.3,0.7,0.88
3,0.4,0.6,0.87
9,0.3,0.7,0.88
10,0.3,0.7,0.86
4,0.4,0.6,0.89
11,0.3,0.7,0.87
5,0.4,0.6,0.89
12,0.3,0.7,0.87
6,0.4,0.6,0.88
3,0.3,0.7,0.88
7,0.4,0.6,0.87
4,0.3,0.7,0.88
8,0.4,0.6,0.88
5,0.3,0.7,0.87
9,0.4,0.6,0.89
6,0.3,0.7,0.87
7,0.3,0.7,0.88
10,0.4,0.6,0.85
8,0.3,0.7,0.87
11,0.4,0.6,0.89
9,0.3,0.7,0.88
12,0.4,0.6,0.87
10,0.3,0.7,0.87
3,0.4,0.6,0.89
11,0.3,0.7,0.88
4,0.4,0.6,0.88
12,0.3,0.7,0.88
5,0.4,0.6,0.89
3,0.4,0.6,0.88
6,0.4,0.6,0.88
4,0.4,0.6,0.87
7,0.4,0.6,0.88
5,0.4,0.6,0.88
8,0.4,0.6,0.88
6,0.4,0.6,0.89
9,0.4,0.6,0.89
7,0.4,0.6,0.87
10,0.4,0.6,0.87
8,0.4,0.6,0.88
11,0.4,0.6,0.88
9,0.4,0.6,0.89
12,0.4,0.6,0.87
10,0.4,0.6,0.87
3,0.4,0.6,0.88
11,0.4,0.6,0.88
4,0.4,0.6,0.89
12,0.4,0.6,0.88
5,0.4,0.6,0.88
3,0.4,0.6,0.90
6,0.4,0.6,0.88
4,0.4,0.6,0.87
7,0.4,0.6,0.87
5,0.4,0.6,0.88
8,0.4,0.6,0.88
6,0.4,0.6,0.87
9,0.4,0.6,0.87
7,0.4,0.6,0.88
10,0.4,0.6,0.87
8,0.4,0.6,0.87
11,0.4,0.6,0.88
9,0.4,0.6,0.88
12,0.4,0.6,0.88
10,0.4,0.6,0.88
3,0.4,0.6,0.89
11,0.4,0.6,0.88
4,0.4,0.6,0.88
12,0.4,0.6,0.88
5,0.4,0.6,0.87
3,0.4,0.6,0.88
6,0.4,0.6,0.89
4,0.4,0.6,0.87
7,0.4,0.6,0.88
5,0.4,0.6,0.88
8,0.4,0.6,0.88
6,0.4,0.6,0.89
9,0.4,0.6,0.88
7,0.4,0.6,0.87
10,0.4,0.6,0.88
8,0.4,0.6,0.87
11,0.4,0.6,0.87
9,0.4,0.6,0.89
12,0.4,0.6,0.86
10,0.4,0.6,0.87
3,0.4,0.6,0.88
11,0.4,0.6,0.88
4,0.4,0.6,0.88
12,0.4,0.6,0.87
5,0.4,0.6,0.90
3,0.4,0.6,0.89
6,0.4,0.6,0.88
4,0.4,0.6,0.89
7,0.4,0.6,0.88
5,0.4,0.6,0.87
8,0.4,0.6,0.87
6,0.4,0.6,0.88
9,0.4,0.6,0.88
7,0.4,0.6,0.88
10,0.4,0.6,0.86
8,0.4,0.6,0.88
11,0.4,0.6,0.89
9,0.4,0.6,0.89
12,0.4,0.6,0.87
10,0.4,0.6,0.86
3,0.4,0.6,0.88
11,0.4,0.6,0.87
4,0.4,0.6,0.87
12,0.4,0.6,0.89
5,0.4,0.6,0.88
3,0.4,0.6,0.89
6,0.4,0.6,0.86
4,0.4,0.6,0.89
7,0.4,0.6,0.88
5,0.4,0.6,0.88
8,0.4,0.6,0.88
6,0.4,0.6,0.89
9,0.4,0.6,0.88
7,0.4,0.6,0.89
10,0.4,0.6,0.86
8,0.4,0.6,0.88
11,0.4,0.6,0.87
9,0.4,0.6,0.88
12,0.4,0.6,0.86
10,0.4,0.6,0.88
3,0.4,0.6,0.89
11,0.4,0.6,0.87
4,0.4,0.6,0.87
12,0.4,0.6,0.88
5,0.4,0.6,0.89
3,0.4,0.6,0.88
6,0.4,0.6,0.88
4,0.4,0.6,0.87
7,0.4,0.6,0.88
5,0.4,0.6,0.90
8,0.4,0.6,0.87
6,0.4,0.6,0.89
9,0.4,0.6,0.88
7,0.4,0.6,0.89
10,0.4,0.6,0.88
8,0.4,0.6,0.88
11,0.4,0.6,0.87
9,0.4,0.6,0.87
12,0.4,0.6,0.88
10,0.4,0.6,0.88
3,0.4,0.6,0.89
11,0.4,0.6,0.88
4,0.4,0.6,0.88
12,0.4,0.6,0.88
5,0.4,0.6,0.89
3,0.4,0.6,0.89
6,0.4,0.6,0.88
4,0.4,0.6,0.88
7,0.4,0.6,0.88
5,0.4,0.6,0.89
8,0.4,0.6,0.88
6,0.4,0.6,0.87
9,0.4,0.6,0.89
7,0.4,0.6,0.88
10,0.4,0.6,0.87
8,0.4,0.6,0.88
11,0.4,0.6,0.88
9,0.4,0.6,0.88
12,0.4,0.6,0.87
10,0.4,0.6,0.87
3,0.4,0.6,0.89
11,0.4,0.6,0.87
4,0.4,0.6,0.88
12,0.4,0.6,0.87
5,0.4,0.6,0.87
3,0.4,0.6,0.90
6,0.4,0.6,0.88
4,0.4,0.6,0.88
7,0.4,0.6,0.88
5,0.4,0.6,0.90
8,0.4,0.6,0.90
6,0.4,0.6,0.87
9,0.4,0.6,0.88
7,0.4,0.6,0.88
10,0.4,0.6,0.86
8,0.4,0.6,0.88
11,0.4,0.6,0.88
9,0.4,0.6,0.88
12,0.4,0.6,0.87
10,0.4,0.6,0.87
3,0.4,0.6,0.88
11,0.4,0.6,0.88
4,0.4,0.6,0.88
12,0.4,0.6,0.87
5,0.4,0.6,0.88
3,0.4,0.6,0.88
6,0.4,0.6,0.88
4,0.4,0.6,0.88
7,0.4,0.6,0.89
5,0.4,0.6,0.90
8,0.4,0.6,0.88
6,0.4,0.6,0.88
9,0.4,0.6,0.89
7,0.4,0.6,0.89
10,0.4,0.6,0.87
8,0.4,0.6,0.89
11,0.4,0.6,0.88
9,0.4,0.6,0.88
12,0.4,0.6,0.88
10,0.4,0.6,0.87
11,0.4,0.6,0.87
3,0.5,0.5,0.94
12,0.4,0.6,0.86
4,0.5,0.5,0.92
3,0.4,0.6,0.89
5,0.5,0.5,0.92
4,0.4,0.6,0.88
6,0.5,0.5,0.90
5,0.4,0.6,0.87
7,0.5,0.5,0.91
6,0.4,0.6,0.88
8,0.5,0.5,0.90
7,0.4,0.6,0.88
9,0.5,0.5,0.90
8,0.4,0.6,0.88
10,0.5,0.5,0.89
9,0.4,0.6,0.88
11,0.5,0.5,0.88
10,0.4,0.6,0.86
12,0.5,0.5,0.89
11,0.4,0.6,0.90
3,0.5,0.5,0.94
12,0.4,0.6,0.88
4,0.5,0.5,0.91
3,0.5,0.5,0.93
5,0.5,0.5,0.93
4,0.5,0.5,0.92
6,0.5,0.5,0.90
5,0.5,0.5,0.91
7,0.5,0.5,0.90
6,0.5,0.5,0.91
8,0.5,0.5,0.90
7,0.5,0.5,0.90
9,0.5,0.5,0.91
8,0.5,0.5,0.89
10,0.5,0.5,0.89
9,0.5,0.5,0.90
11,0.5,0.5,0.88
10,0.5,0.5,0.90
12,0.5,0.5,0.89
11,0.5,0.5,0.90
3,0.5,0.5,0.93
12,0.5,0.5,0.88
4,0.5,0.5,0.91
3,0.5,0.5,0.94
5,0.5,0.5,0.92
4,0.5,0.5,0.91
6,0.5,0.5,0.90
5,0.5,0.5,0.91
7,0.5,0.5,0.90
6,0.5,0.5,0.89
8,0.5,0.5,0.90
7,0.5,0.5,0.89
9,0.5,0.5,0.90
8,0.5,0.5,0.89
10,0.5,0.5,0.89
9,0.5,0.5,0.90
11,0.5,0.5,0.89
10,0.5,0.5,0.89
12,0.5,0.5,0.89
11,0.5,0.5,0.89
3,0.5,0.5,0.93
12,0.5,0.5,0.89
4,0.5,0.5,0.90
3,0.5,0.5,0.93
5,0.5,0.5,0.92
4,0.5,0.5,0.91
6,0.5,0.5,0.90
5,0.5,0.5,0.93
7,0.5,0.5,0.91
6,0.5,0.5,0.90
8,0.5,0.5,0.90
7,0.5,0.5,0.90
9,0.5,0.5,0.90
8,0.5,0.5,0.90
10,0.5,0.5,0.90
9,0.5,0.5,0.89
11,0.5,0.5,0.88
10,0.5,0.5,0.89
12,0.5,0.5,0.90
11,0.5,0.5,0.89
3,0.5,0.5,0.94
12,0.5,0.5,0.89
4,0.5,0.5,0.92
3,0.5,0.5,0.94
5,0.5,0.5,0.91
4,0.5,0.5,0.92
6,0.5,0.5,0.90
5,0.5,0.5,0.92
7,0.5,0.5,0.90
6,0.5,0.5,0.90
8,0.5,0.5,0.89
7,0.5,0.5,0.90
9,0.5,0.5,0.89
8,0.5,0.5,0.90
10,0.5,0.5,0.89
9,0.5,0.5,0.90
11,0.5,0.5,0.89
10,0.5,0.5,0.90
12,0.5,0.5,0.88
11,0.5,0.5,0.89
3,0.5,0.5,0.94
12,0.5,0.5,0.88
4,0.5,0.5,0.90
3,0.5,0.5,0.94
5,0.5,0.5,0.91
4,0.5,0.5,0.91
6,0.5,0.5,0.91
5,0.5,0.5,0.93
7,0.5,0.5,0.90
6,0.5,0.5,0.90
8,0.5,0.5,0.90
7,0.5,0.5,0.90
9,0.5,0.5,0.88
8,0.5,0.5,0.90
10,0.5,0.5,0.88
9,0.5,0.5,0.91
11,0.5,0.5,0.89
10,0.5,0.5,0.89
12,0.5,0.5,0.88
